"","log2FoldChange","padj","Factor"
"ko:K03231",0.626695166298483,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K03232",-1.96259991621975,0.425638262324233,"Menthol_Menthol_vs_Control"
"ko:K03233",-0.299464970087586,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K03234",0.86825780224118,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K03236",-0.791056391043624,0.486438634999256,"Menthol_Menthol_vs_Control"
"ko:K03246",0.337507938132666,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K03247",-0.311409558476423,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K03283",-0.343390653825862,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K03521",0.196135922162138,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K03522",-0.769191253844191,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K03626",-0.0983959744053192,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K03661",-1.49053789207477,0.907727992518349,"Menthol_Menthol_vs_Control"
"ko:K03872",0.385212968240355,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K03873",0.00213857052380722,0.998929430430127,"Menthol_Menthol_vs_Control"
"ko:K03936",0.293672385520637,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K03942",-0.01442971599559,0.998929430430127,"Menthol_Menthol_vs_Control"
"ko:K03943",0.807785655404445,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K04043",0.655251786335429,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K04079",-0.227244053577776,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K04345",0.946101150610408,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K04348",1.48806445451095,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K04354",-2.06897302113241,0.0273097571081415,"Menthol_Menthol_vs_Control"
"ko:K04364",-0.263717820394613,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K04369",-0.982064632449252,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K04370",0.203450690349297,0.946013003150623,"Menthol_Menthol_vs_Control"
"ko:K04371",-0.387496927208572,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K04393",-0.636645676595202,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K04444",-1.13390148698278,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K04456",-0.699976346041098,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K04503",-0.183300716409283,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K04536",-0.63804188431597,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K04552",0.169468934479626,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K04567",0.0506893286046148,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K04712",0.212709805724672,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K05754",-0.128348657098298,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K05755",0.713385644955463,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K05757",0.0570524089152413,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K05758",-0.728749505734684,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K05759",-0.762134146709825,0.484038642894663,"Menthol_Menthol_vs_Control"
"ko:K06685",0.347932984711669,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K06689",-0.163333517320923,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K06704",0.552005188338082,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K07151",-0.206330205385179,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K07192",-0.195110330776776,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K07205",-0.885761764515635,0.680401415823478,"Menthol_Menthol_vs_Control"
"ko:K07342",-0.254603531401592,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K07375",0.135290527633918,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K07509",-0.0809166248064224,0.948727339126207,"Menthol_Menthol_vs_Control"
"ko:K07827",0.418945745174517,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K07874",0.395346915018145,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K07887",0.0790484727046422,0.948727339126207,"Menthol_Menthol_vs_Control"
"ko:K07890",1.23499119460664,0.147168523539049,"Menthol_Menthol_vs_Control"
"ko:K07893",-0.399552853032356,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K07901",-0.528819538905541,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K07936",0.306169539814624,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K07937",0.0261682189455368,0.950385176844065,"Menthol_Menthol_vs_Control"
"ko:K07976",0.542846435112493,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K08056",-0.0864125456676648,0.987436609415364,"Menthol_Menthol_vs_Control"
"ko:K08548",0.136976511480564,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K08764",1.18163961916248,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K08870",-0.547535280839203,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K08957",0.924732622019263,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K09022",-0.467830607885729,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K09398",0.957385295772997,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K09481",0.116966348040788,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K09490",1.3221540020899,0.703493483144691,"Menthol_Menthol_vs_Control"
"ko:K09567",-1.28184981244045,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K09568",0.731959506773365,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K09569",1.60864413658108,0.358691008541045,"Menthol_Menthol_vs_Control"
"ko:K09580",0.0605289824485555,0.948727339126207,"Menthol_Menthol_vs_Control"
